# Every result of one `yt-dlp ytsearch400:#ESAWinter21`, recorded
# 2026-09-01 for issue #75. This is the whole candidate set the
# event can offer, decoys and other years included - a harder set to
# rank than the six hits a live `ytsearch6:<game> #tag` returns, and
# one that costs no YouTube request to re-run.
video_id,duration,title
4MHIP0o_8Ww,5695,Rayman [Any% (2P1C)] by Thextera_ and Glackum - #ESAWinter20
kn3eebM9GGg,9629,#ESAWinter19 Speedruns - Pokémon Red [DDR% Glitchless] by AEtienne
GT2bM3Cg3v4,4427,Havrd's Secret Hour [Secret] by Havrd - #ESAWinter22
YNN2rM2DPHI,1300,Chakan: The Forever Man [Any%] by Edenal - #ESAWinter26
uHdg7TdKxok,2838,#ESAWinter18 Speedruns - Mega Man X [100%] by Soppae
3pKpX5VMnEQ,4671,#ESAWinter18 Speedruns - Giga Wrecker [Any%] by AEtienneTV
14gu0c7HO-I,2076,#ESAWinter19 - Ryedawg's Chatterbox - Day 4 with guest Distortion2
KRPA79_lQ4A,3913,Spyro Reignited Trilogy - Spyro 2: Ripto's Rage! [40 Orb] by Zic3 - #ESAWinter21
9UW-5_JK258,1452,#ESAWinter18 Speedruns - Batman [any%] by Greenalink
z5jv0SLohgA,2593,#ESAWinter18 Speedruns - Mega Pony [Rainbow Dash] by KennyMan666
Y45uRwwwmos,2529,Mega Man X 100% by Clipper   #ESAWinter21
ZPkcXrn0U_0,3973,Tormented Souls [Any%] by SHiiDO - #ESAWinter22
ZzR3lc7ArEc,14464,Skies of Arcadia: Legends (PRE-SHOW) [100%] by Pengyy - Part 4/6 - #ESAWinter21
KCUij5bw0GI,5322,"BattleBlock Theater [Any% (No Skips, Normal, Weapons)] by Paulister - #ESAWinter22"
1IHSweRCRqk,1582,#ESAWinter19 Speedruns - Distance [Lost to Echoes - Default] by Brionac95
mLF2zkd4myM,5190,Star Fox 64 [Crowd Control] by kelpsey - #ESAWinter22
uwzYVoYHqhg,5876,Dark Souls III [All Bosses ] by siegbruh - #ESAWinter22
DUD-U4A7K5c,8607,ESA Galaxy Any% Race - Jhay vs HardcoreGaming [ESA Winter 22]
1unIvgKW2BU,3193,Prince of Persia: The Sands of Time [Any% (No Zombie Glitch)] by 7eraser7 - #ESAWinter23
o3HdHegR3sM,2267,#ESAWinter19 Speedruns - Streets of Rage [2-Players Glitchless Easy] by Titans of Co-Op
kyZItq3V5IM,410,Skate or Die [Compete All] by janglestorm - #ESAWinter21
JG6iF6gyt-w,2385,BioShock [Any%] by SerSanju - #ESAWinter22
AU7M_It7Yv4,296,P-61 Black Widow ESA winter time 2018
UwlvX_2Mjp8,4941,Grand Theft Auto III [Any%] by English_Ben - #ESASummer21
8SjAAmCOojg,3383,"Spyro Reignited Trilogy [Any% (Spyro The Dragon, NBS)] by BoneyC - #ESAWinter20"
YwGM9OMQEXM,4129,"Unravel Two [Any% (No Major Skips, Co-op)] by ms_rey and ThisGuyAreSick - #ESAWinter21"
PeqzW4jmCV0,1489,Hades [Dash Only] by OckE - #ESAWinter23
hTFBbU14R9Y,4142,#ESAWinter18 Speedruns - Pokémon Diamond/Pearl [Any%] by Retrotato
tdP43hdvl-M,7327,Clubhouse Games: 51 Worldwide Classics [Win All Games] by 360Chrism - #ESAWinter21
DcsDEXzJnZQ,8946,#ESAWinter19 Speedruns - Dark Souls II [All Bosses] by Distortion2
fUq5N3Uk-ZY,4629,Grand Theft Auto V [Trevor%] by noobsalmon - #HEK21
TNsAPZqaNfU,14460,Skies of Arcadia: Legends (PRE-SHOW) [100%] by Pengyy - Part 2/6 - #ESAWinter21
pHg9qhJ03BU,1877,Skybolt Zack [Any%] by BliSushi - #ESAWinter20
QwvvIh94b40,547,Illusion of Gaia [Apocalypse Gaia] by solarcell007 - #ESAWinter20
kiUS4ZCTw6g,2301,Cat Quest [Any% (Old Patch)] by UnintendedChaos - #ESAWinter24
7lQPK6zuTio,2778,Super Mario 64 FPS [70 Star] by Shafournee - #HEK21
jkt65i-ZPLk,2342,#ESAWinter19 Speedruns - Super Mario Bros. [Warpless] by at_c
7Rx8bUTRq6I,3907,Mirror's Edge [Any% Relay Race] by Team Juan vs. Team Carlos - #HEK21
cLr_JtCBrBU,4321,TETR.IO [Showcase (40 Lines + Blitz + Multiplayer)] - #ESAWinter23
X3txnSgoKIU,5722,ESA Winter 2023 #21 - Super Metroid by Celina
5aWsNTjSAdw,3250,Devil May Cry 2 [NG (Dante)] by LonerHero - #ESAWinter21
JURqmd75F38,2148,Sonic 3D in 2D [Beat The Game (Sonic)] by huds601 - #ESAWinter23
rEXGsK1QAhM,744,Tetris Attack [VS. V-Hard] by YumeTsubasaCH and Wiredwicky - #ESAWinter20
2GaIOMRsDD0,2679,"Resident Evil (1996) [Chris (Any%, No Major Glitches)] by SHiiDO - #ESAWinter22"
9htFwyUriGg,4253,Metal Gear Solid 2 Speedrun Race live @ ESA Winter 2022  - Hau5test vs Mockingjay
gIx_ZHH9Knw,4449,Retro City Rampage [Any%] by Riekelt - #ESAWinter22
5e7qz0n6gd0,72,"""Shine""- Celebrating ESA at the Winter Garden"
we0WqRi1LsE,626,#ESASummer22 Official Aftermovie
g8KTbWUddVs,1144,Lemma [Any%] by drunkenshoe - #HEK21
zq1mO994YJM,887,Manic Miner [Any%] by TinyTim78 - #ESAWinter23
slwCEQokCNA,5150,Shadow of the Colossus (2018) [Any% (Normal)] by Incep_Sean - #ESAWinter21
75ZtpZEOYks,1993,Momodora: Reverie Under the Moonlight [AVIB (Hard)] by DrimFox - #ESAWinter20
egHud43HrUQ,4321,Silent Hill 4: The Room [New Game] by juh0rse - #ESAWinter22
uJd16GxOQVI,12445,Wild Rift China🔴KKM | SoloQ Rank 1 Server - 7 Jungle Guide Subtitles | High Elo Gameplay - Legendary
