# What resolve picks for every row of horaro's 2024-summer out of
# esa-summer-2024-vods.csv. Checked by eye against the titles when it was
# written, for issue #75 (event backfilled in #45).
uuid,game,category,video_id,tier,title
381cc6bd-6ead-4b51-a1e4-6ec884f86037,Kubinashi Recollection,All Puzzle Pieces (New Game+),MIyzXCgrg3o,tag-game-runner,Kubinashi Recollection [All Puzzle Pieces (New Game+)] by naro - #ESASummer24
46c9a8b5-99ae-420e-a203-a8c34a5e29e5,Obama,All Bosses,-YbT0ml0gjA,tag-game-runner,Obama [All Bosses] by CodeNameMeteor - #ESASummer24
ac7eea95-ca8f-4672-9807-795b2313206a,Stranger of Paradise: Final Fantasy Origins,NG Co-Op,gx-2Af2psNY,weak,Anger Foot (itch.io) [NG+] by sajiki - #ESASummer24
f649cfef-0b6f-43e3-9668-d8ab07d6779e,Mirror's Edge,Any%,50oQHWo2MK8,tag-game,Mirror's Edge [Any%] - #ESASummer24
03dde1f4-1ab5-417d-9369-394e8ea487a9,Teenage Mutant Ninja Turtles,Any%,49Upou1Rttg,tag-game-runner,Teenage Mutant Ninja Turtles [Any%] by NilssonAlex92 - #ESASummer24
5b58a2a3-52fa-40df-ad37-56db3b3b0995,Ducktales 2,any% (easy),NG6G91AUZPk,tag-game-runner,Ducktales 2 [Any% (easy)] by nintendonatalie - #ESASummer24
4f9f4147-6235-413a-9db7-24f1eea1a4ca,Ghosts 'n Goblins,any% NES (2 loops),uUGMgyW9db0,tag-game-runner,Ghosts 'n Goblins [Any% NES (2 loops)] by Laxxus - #ESASummer24
7610b2fb-4704-43d7-909f-fc97a44e6526,Karnov,Any%,2vc5vZRpqDU,tag-game-runner,Karnov [Any%] by hirexen - #ESASummer24
cac75d1e-f37f-4344-8439-614410a8b02b,Yume Penguin Monogatari,Any%,o7ODdU-3mzM,tag-game-runner,Yume Penguin Monogatari [Any%] by CartinaCow and EndySWE - #ESASummer24
71f1438b-deb8-4088-b013-46a7a00edf89,Chip 'N Dale: Rescue Rangers,Any%,YqGEcWyd-R4,tag-game-runner,Chip 'N Dale: Rescue Rangers [Any%] by hirexen and EndySWE - #ESASummer24
1402306c-7347-4bce-a587-2b7a8fbf4b58,Panic Restaurant,Any%,qFgLRgbAfwc,tag-game-runner,Panic Restaurant [Any%] by Laxxus and hirexen - #ESASummer24
a9085c4c-74a8-4a8c-970e-4104873f69b8,Monster in My Pocket,Any%,GfgeBR5zoEo,tag-game-runner,Monster in My Pocket [Any%] by hirexen - #ESASummer24
031588b6-9ee7-4257-983a-e35bbd58ebc9,Nova the Squirrel,Any%,jlEPGj-t0Ug,tag-game-runner,Nova the Squirrel [Any%] by Polari - #ESASummer24
79f8d2ea-c74d-45f9-8886-07949a7c8ef6,Little Nemo: The Dream Master,English,tK4Kt8Kudnc,tag-game-runner,Little Nemo: The Dream Master [English] by thebagler5 - #ESASummer24
e5771435-e20d-4801-b181-9236f02ac495,Home Alone 2,Any%,LHoVA_JNLT0,tag-game-runner,Home Alone 2 [Any%] by ScarfaceNico - #ESASummer24
9fbc6897-c601-4c16-864b-f3fdd6a98bd8,The Rescue of Princess Blobette,Any%,GlLCALsOZJs,tag-game-runner,The Rescue of Princess Blobette [Any%] by Oh_DeeR - #ESASummer24
d93dded2-e9f0-49f7-9785-1298ad648abf,Takeshi's Challenge,Any%,Iwr48SYp85g,tag-game-runner,Takeshi's Challenge [Any%] by lucha_gym - #ESASummer24
7b0c476e-0c02-43fe-a3c2-224b8632d672,Pieces,Easy-Hard (Controller),I4_IU7RAh2k,tag-game-runner,Pieces [Easy-Hard (Controller)] by Apollo22237 - #ESASummer24
2baff27e-13b6-4f67-a000-fecafa43351e,Super Mario 63,No Major Skips,CWIA7Zp13yA,weak,Super Mario 64 [70 star 70 player relay] - #ESASummer24
36a86f23-b08e-49b9-b635-f3b830c60cb7,Mega Man X1,100%,I67m66Xc54s,tag-game-runner,Mega Man X1 [100%] by StahlbolzenSC2 - #ESASummer24
ed58cf09-1c6d-4339-b122-033cc84c4010,Mega Man 2,Any% (Normal),ihKfreAoBso,tag-game,Mega Man 2 Relay Race (any%) - #ESASummer24
7b7b0b04-75c7-41c6-a335-ac7dfaa84202,Metroid Deep Freeze,100%,3NN2EI1H_70,tag-game-runner,Metroid Deep Freeze [100%] by Xoneris - #ESASummer24
203f6f69-246b-4e36-88aa-7152476c3d5c,Crash Bandicoot 2: Cortex Strikes Back,any% powermod,rRthcTIjeec,tag-game-runner,Crash Bandicoot 2: Cortex Strikes Back [Any% Powermod] by Alaapo - #ESASummer24
e14ed53f-69c7-4e99-b842-f47d9de0f17a,Crash Team Racing,Any% (No Major Glitches),XjpgguNJfyU,tag-game-runner,Crash Team Racing [Any% (No Major Glitches)] by hypnoshark - #ESASummer24
1a0e1a65-1eae-48b2-bf45-1a72a2528680,End of day 6,,ihKfreAoBso,weak,Mega Man 2 Relay Race (any%) - #ESASummer24
823224d1-79db-4849-a62f-131ffce7534b,Soul of the Samurai,Any% True Ending,ge0PS_9BjAo,tag-game-runner,Soul of the Samurai [Any% True Ending] by vojtas131 and Aeshmah_ - #ESASummer24
4d8fd4b8-7bd3-4ff2-bc2b-430bb6395643,Viewfinder,Any% (2 Players 1 M&K),daLO__ACCAQ,tag-game-runner,Viewfinder [Any% (2 Players 1 M&K)] by Monojira and Cropax - #ESASummer24
3c4bb102-0cf5-40eb-a672-996c412674f9,Bug Fables: The Everlasting Sapling,Any% (Unrestricted),ebbaGqr1Wdw,tag-game-runner,Bug Fables: The Everlasting Sapling [Any% (Unrestricted)] by Shigan_ - #ESASummer24
48b7a022-7f33-4998-906c-f89b77e0f726,Beep's Escape,Complete the Game,5hNPNBd6phQ,tag-game-runner,Beep's Escape [Complete the Game] by TinyTim78 - #ESASummer24
2024-summer-109,Chuckie Egg,Complete Level 16,TWawIXJQ1yk,tag-game-runner,Chuckie Egg [Complete Level 16] by TinyTim78 - #ESASummer24
