# What resolve picks for every row of horaro's 2021-winter out of
# esa-winter-2021-vods.csv. Checked by eye against the titles when it was
# written, for issue #75 (event backfilled in #52).
uuid,game,category,video_id,tier,title
96ec9fc49e3cfe2bbcfb401c,Power Rangers: Lightspeed Rescue,Any%,u6oCJJfKy7I,tag-game-runner,Power Rangers: Lightspeed Rescue [Any%] by Proto_Sonic - #ESAWinter21
302270c8f880defa0ced3b69,Shovel Knight,NG+ (Specter Knight),5E-jbA4RkkE,tag-game-runner,Shovel Knight [NG+ (Specter Knight)] by Xerclipse - #ESAWinter21
cc49d836b2130ac211901dfe,Super Metroid,GT Classic,S1ZJBZZt0U8,tag-game-runner,Super Metroid [GT Classic] by kekumanshoyu - #ESAWinter21
eb6ba24e99f226f8352b6d0c,Unravel Two,"Any% (No Major Skips, Co-op)",YwGM9OMQEXM,tag-game-runner,"Unravel Two [Any% (No Major Skips, Co-op)] by ms_rey and ThisGuyAreSick - #ESAWinter21"
1768d8058a0b499c2b4a7dc5,Bee Movie Game,Any%,2kh198FciUA,tag-game-runner,Bee Movie Game [Any%] by BlackbeltGingaNinja - #ESAWinter21
147a0b4f5042026b15594819,Hylics 2,Any%,9xowWkGTzeM,tag-game-runner,Hylics 2 [Any%] by RJsmangit - #ESAWinter21
c9ab57240cf1d53832ad8ade,Halo: Reach,Legendary,euu7Sz85mzs,tag-game-runner,Halo: Reach [Legendary] by Two_EEzy - #ESAWinter21
c13ceb8151fa7728cc1bcb9e,The Legend of Zelda: A Link to the Past,Randomizer (Co-op),zngqyAyuxos,tag-game-runner,The Legend of Zelda: A Link to the Past [Randomizer (Co-op)] by Xita and Wiredwicky - #ESAWinter21
fc879754fab0d977772623c9,Need for Speed: Most Wanted,Any%,BIW2J6JaI3o,tag-game-runner,Need for Speed: Most Wanted [Any%] by KuruHS - #ESAWinter21
7eec2bbd7672ad8711319916,Nioh 2 - The Complete Edition,"All Main Missions (w/ DLC, Featherless)",7dU2gM7xAxc,tag-game-runner,"Nioh 2 - The Complete Edition [All Main Missions (w/ DLC, Featherless)] by AxelSanGo - #ESAWinter21"
0a32da35a1adc9a5a1069d76,Final Fantasy VII Remake,Any% (Easy),3xDgXqzz5mU,tag-game-runner,Final Fantasy VII Remake [Any% (Easy)] by Royzoga - #ESAWinter21
1e4b2830f449a726c83f8ded,Cyberpunk 2077,Any%,B6CfzgbPh7g,weak,Pikuniku [Any%] by GreenSnowDog - #ESAWinter21
d7a7f9fe42ab7099b3f8e71e,Golden Sun: The Lost Age,Any% (No S&Q),FxmPJdVtB5o,tag-game-runner,Golden Sun: The Lost Age [Any% (No S&Q)] by TL_Plexa - #ESAWinter21
d7a7f9fe42ab7099b3f8e71f,Alien: Isolation,"Any% (Nightmare, CC Only)",v4Of6B8m3SA,tag-game-runner,Alien: Isolation [Any% (CC Only Nightmare)] by Nikoheart - #ESAWinter21
5fa8a7e69cada1365dc59a2a,The Italian Job,Any%,H62xSNv2_Nc,tag-game,The Italian Job [Any%] by Viper - #ESAWinter21
99b5e07d24505d89b3f3cfb4,Be-Music Source,Single & Double Play Exhibition,0yHSdx07WQw,tag-game-runner,Be-Music Source [Single & Double Play Exhibition] by beachsidebunny and chazoshtare - #ESAWinter21
d5b9371871eac747178f9eaa,Bugsnax,Any%,n7253_TUgyg,tag-game-runner,Bugsnax [Any%] by Addio98 - #ESAWinter21
800616a65fdafc534f9bd5aa,Teslagrad,36 Scrolls (100%),FJ5NBUl93U0,tag-game-runner,Teslagrad [36 Scrolls (100%)] by Codejinn - #ESAWinter21
15548266df7a3aa05f29ba53,Pokémon Emerald Randomizer,Pokédex Blackout,x-oiURoPz_k,tag-game-runner,Pokémon Emerald Randomizer [Pokédex Blackout] by 360Chrism and SheNanagans_ - #ESAWinter21
7782f280384592d1fa86bb03,Deltarune,"Any% (NG+, Blindfolded)",-vzFCPD1IIA,tag-game-runner,"Deltarune [Any% (NG+, Blindfolded)] by Bubzia - #ESAWinter21"
d62b1e4b0f58f7d8ee46811b,Castlevania,Any%,G3mM1DhyItU,tag-game-runner,Castlevania [Any%] by 2snek - #ESAWinter21
d52337a275d592455d09cbd7,Castlevania: Rondo of Blood,Maria Only,K9l8ZF9DOsY,tag-game-runner,Castlevania: Rondo of Blood [Maria Only] by LattMackey - #ESAWinter21
1effdc69cc1b781e7a1b8f80new,Mega Man Ultra,Any%,clZj3XvouoE,tag-game-runner,Mega Man Ultra [Any%] by Kuumba_ - #ESAWinter21
d89b52f5e17229489a606b5d,Super Mario Sunshine (3D All-Stars),Any%,J5tz9babC1U,weak,Super Mario All-Stars [Any% (All Four Games)] by BigJon - #ESAWinter21
ee70cb8777ae6c4a32b3f40b,Super Mario All-Stars,Any% (All Four Games),J5tz9babC1U,tag-game-runner,Super Mario All-Stars [Any% (All Four Games)] by BigJon - #ESAWinter21
300956f6e850f28e71691ef8,The Wacky World of Miniature Golf,Cutscene%,Ed7TyChPsZk,tag-game-runner,The Wacky World of Miniature Golf [Cutscene%] by BigJon - #ESAWinter21
c08f6aa3eecf87fea7816796,SegaSonic the Hedgehog,Beat The Game,eISEAatkot8,tag-game-runner,SegaSonic the Hedgehog [Beat The Game] by Hibnotix and STwoLive - #ESAWinter21
8c50236025e0df0576b54f0e,Sonic the Hedgehog (1991),Glitchless,v6mZ6XujLN4,tag-game-runner,Sonic the Hedgehog (1991) [Glitchless] by SuperSonic_ - #ESAWinter21
bca0b570204553353f76ba42,Sonic Spinball,Beat The Game,Pe_yfV-6eJE,tag-game-runner,Sonic Spinball [Beat The Game] by Argick - #ESAWinter21
51a9d02fbfc5f56fb0255bfa,Celeste,Any% (Dance Pad),kiI1t5vVl9U,tag-game-runner,Celeste [Any% (Dance Pad)] by PeekingBoo - #ESAWinter21
f319f6d88cb9d0d0ec8d91ff,Grand Theft Auto: Vice City Stories,Any%,eXwuWJGu5yU,tag-game-runner,Grand Theft Auto: Vice City Stories [Any%] by Joshimuz - #ESAWinter21
f319f6d88cb9d0d0ec8d91fg,Grand Theft Auto: Chinatown Wars,Any%,eXwuWJGu5yU,weak,Grand Theft Auto: Vice City Stories [Any%] by Joshimuz - #ESAWinter21
f319f6d88cb9d0d0ec8d91fh,Closing Speech,,3aIaCQaaCCM,tag-game-runner,Closing Speech by Fatzke - #ESAWinter21
finwn22sy6k9k0ragixjxl56,Bowser's Fury,Any%,E3tbL_iMz8Q,tag-game-runner,Bowser's Fury Speedrun by Samura1man - #ESAWinter21
