# Every result of one `yt-dlp ytsearch400:#ESASummer24`, recorded
# 2026-09-01 for issue #75. This is the whole candidate set the
# event can offer, decoys and other years included - a harder set to
# rank than the six hits a live `ytsearch6:<game> #tag` returns, and
# one that costs no YouTube request to re-run.
video_id,duration,title
BGKq1ZuuYe0,3121,Kingdom Hearts Birth by Sleep Final Mix HD [Ventus Critical Level 1 Any%] - #ESASummer24
4k6L3Vgypdk,1755,Batman: Arkham City [Any% (NG+)] by Xoneris - #ESASummer21
fvf1Proo3A0,6243,Grand Theft Auto: London 1969 [100%] by Tezur0 - #ESASummerOnline
Ze6dKGHxF8Y,1084,Super Mario Land [Any%] by R3TR0V3R5E - #ESASummerOnline
FMLQoPdDyvE,5914,Super Mario World [96 Exit] by akistolol - #ESASummerOnline
Amge6XjU7lI,2467,Grand Theft Auto IV [Most Wanted] by Makkebakke - #ESASummerOnline
pOfJdSIzGO0,1299,#ESASummer18 Speedruns - El Matador [Any%] by catalystz and havrd
C6NO0QzUyro,4270,Attack on Titan 2: Final Battle [Any% (Season 3)] by FroobMcGuffin - #ESASummerOnline
5DOx0EIbtIo,2260,Braid [6 Star] by Kanban85 - #ESASummerOnline
2ygHlL1WuiM,1081,Defy Gravity Extended [normal] by Velare_SR - #ESASummerOnline
_RbAH30qpHU,1363,Lemma [Any%] by Drunkenshoe - #ESASummerOnline
2u3wwqYQICE,5599,Devil May Cry 5 [Any% (Human)] by DECosmic - #ESASummerOnline
MIyzXCgrg3o,2691,Kubinashi Recollection [All Puzzle Pieces (New Game+)] by naro - #ESASummer24
tCJCE_0BAvk,2475,Viewtiful Joe [Any% (Kids)] by Crab\Milk\Mickey - #ESASummerOnline
FIpcsSzBjLY,2637,Dark Souls III [Any%] by Fudgecow - #ESASummerOnline
5L_QHgTHfvE,4035,Sonic the Hedgehog (2006) [Silver's Story (No MSG)] by FocusSight - #ESASummerOnline
8XUneVa6Z7Y,2023,New Super Mario Bros. 2 [Any%] by Javi - #ESASummerOnline
92WRdcFTtew,1741,Metroid Return to Zebes [100%] by LinkaMeister - #ESASummerOnline
XjpgguNJfyU,3756,Crash Team Racing [Any% (No Major Glitches)] by hypnoshark - #ESASummer24
sTCIQ920Ge0,4292,Billy Hatcher and the Giant Egg [Any%] by Kyrrone - #ESASummerOnline
u13UXnkGf78,2809,ESA Summer 2024 - PlayStation Nation Supercut
7g1JBhAEVh0,3706,ESA Summer 2026 DJ Night - Dralnah Set
ZVnPUtBCr9U,4575,Hyper Metroid [Any%] by LinkaMeister - #ESASummerOnline
48SKEHSKPlI,9846,Iran Street Food Is on Another Level! 🔥 Real Food Prices & Life Inside Iran
WgKIp85Ij_s,1376,Mega Man: Wily Wars [Wily Tower] by Jokaah - #ESASummerOnline
Kpk_QrbJtRk,1472,Mega Man [All Stages] by EndySWE - #ESASummerOnline
udq4sqL17p0,3583,Ratchet & Clank [All Gold Bolts] by SNEEPYY and xem92 - #ESASummer24
U5gKQZYZIvw,3042,Spongebob's Truth or Square [Any% (No LSG)] by jackalacka - #ESASummer21
PxN2-Dgkfb4,1460,Super Mario Bros. [Warpless] by SuperSonic71087 - #ESASummerOnline
uA0Uz7-u0DY,3418,MediEvil [Any%] by Jaxler1 - #ESASummerOnline
GfgeBR5zoEo,1166,Monster in My Pocket [Any%] by hirexen - #ESASummer24
Nqszd_HB4Tg,10690,Parasite Eve [New Game] by RJsmangit - #ESASummerOnline
9Mqxz8N-cG0,1113,Whipseey and the Lost Atlas [Any%] by MoD366 - #ESASummerOnline
wGIDr9MGsPQ,5332,The Legend of Zelda: Twilight Princess [All Fused Shadows] by Samura1man - #ESASummerOnline
YsDfq_CmKHg,1257,Super Mario 64 [16 Star] by Simply - #ESASummerOnline
kIJC87MFBb4,370,ESA summer 2017 submission - TrackMania Nations Forever White & Green Flag races
lMR8VCla1PQ,2597,Bluey: The Videogame [Any%] by hsblue - #ESASummer24
sOSn3BuFcYw,6001,Octopath Traveler II [Superboss] by Shemcat - #ESASummer23
qeF1sOiatmU,1577,Wave Race [800cc (National Circuit)] by YumeTsubasaCH - #ESASummerOnline
GEpPqndkW14,3262,"Spyro Reignited Trilogy [Any% (Spyro The Dragon, NBS)] by NostTW - #ESASummerOnline"
JttkrJBP-k4,498,The Worlds Hardest Game [Any% (Flash)] by hsblue - #ESASummer24
-FkcJB3v8dE,2191,Asghan: The Dragon Slayer [Any%] by havrd - #ESASummer19
UZlWE5ellnQ,1878,Legacy of Kain: Defiance [Any%] by Mekarazium - #ESASummerOnline
VgcIqsAj8dw,845,Kabuki Quantum Fighter [any%] by bassguy4 - #ESASummer24
_BXekw3vlVA,3111,Saturn Bomberman [Any% (Normal Mode)] by heyitsperk - #ESASummer21
7g1JBhAEVh0,3706,ESA Summer 2026 DJ Night - Dralnah Set
