Scheduled;Game;Players;Platform;Category;Categories;Twitch;Time;Event;Youtube
2020-07-28T08:26:00+02:00;Skies of Arcadia: Legends;[Pengyy](https://www.twitch.tv/pengyy);Gamecube;Any%;;;11:55:41;ESA 2020 Summer Online;Jxjcnl7Ul9Q
2020-07-29T00:48:00+02:00;Super Mario Land;[R3TR0V3R5E](https://www.twitch.tv/r3tr0v3r5e);GB;Any%;;;0:14:49;ESA 2020 Summer Online;Ze6dKGHxF8Y
2020-07-29T05:37:00+02:00;Harry Potter and the Philosopher's Stone;[DylWingo](https://www.twitch.tv/dylwingo);PS2;Any%;;;1:12:59;ESA 2020 Summer Online;1lw5HfpdCuI
2020-07-29T16:39:00+02:00;Spyro Reignited Trilogy;[NostTW](https://www.twitch.tv/nosttw);PC;Any% (Spyro The Dragon, NBS);;;0:49:11;ESA 2020 Summer Online;GEpPqndkW14
2020-07-29T22:19:00+02:00;Risk of Rain;[rythin_sr](https://www.twitch.tv/rythin_sr);PC;Any% (Monsoon);;;0:13:15;ESA 2020 Summer Online;7PemDXyhZH8
2020-07-30T03:21:00+02:00;Metal Gear Solid 2: VR Missions;[dlimes13](https://www.twitch.tv/dlimes13);PS3;All Missions (Snake, Tuxedo);;;0:57:13;ESA 2020 Summer Online;p0gPyTnQmkk
2020-07-30T14:59:00+02:00;Furi;[AEtienne](https://www.twitch.tv/aetienne);PC;Speedrun Mode (Furier);;;1:00:15;ESA 2020 Summer Online;hzF0lJEmaI0
2020-07-30T20:19:00+02:00;Dragon Ball Z: Budokai 3 (HD);[RebelDragon95](https://www.twitch.tv/rebeldragon95);Xbox 360;Goku's Story Any% (Capsules);;;0:13:00;ESA 2020 Summer Online;9jdBl09DPJY
2020-07-31T06:22:00+02:00;Pokémon Puzzle League;[TaymanND](https://www.twitch.tv/taymannd);N64;1P Stadium (Super Hard);;;0:25:14;ESA 2020 Summer Online;fE4ZeuIEs2g
2020-07-31T14:42:00+02:00;Metal Gear Solid 2: Substance;[MackMcD](https://www.twitch.tv/mackmcd);PC;Any%;;;0:56:40;ESA 2020 Summer Online;l3iqXNHN2pM
2020-07-31T19:26:00+02:00;TrackMania² Canyon;[Rasta](https://www.twitch.tv/rastatm);PC;All Flags;;;1:29:14;ESA 2020 Summer Online;SjoxaOKQs9s
2020-08-01T02:25:00+02:00;Resident Evil 4;[Waifu](https://www.twitch.tv/waifu);PC;Any% (Professional);;;1:33:31;ESA 2020 Summer Online;yTXy7a_-x88
2020-08-01T10:02:00+02:00;Lotus Esprit Turbo Challenge;[TinyTim78](https://www.twitch.tv/tinytim78);Amiga;Easy;;;0:24:59;ESA 2020 Summer Online;pDGUCru_h_Y
2020-08-01T17:41:00+02:00;NOSE - The Great Keana Edition;[Velare_SR](https://www.twitch.tv/velare_sr);PC;Any% (v3.14);;;1:01:38;ESA 2020 Summer Online;7Py5xtSyUeQ
2020-08-02T00:51:00+02:00;Lemma;[Drunkenshoe](https://www.twitch.tv/drunkenshoe);PC;Any%;;;0:18:11;ESA 2020 Summer Online;_RbAH30qpHU
2020-08-02T04:52:00+02:00;Mega Man X7;[FocusSight](https://www.twitch.tv/focussight);PC;Any% (NG);;;1:07:31;ESA 2020 Summer Online;43j9IDPB0ZM
2020-08-02T11:08:00+02:00;Castlevania III: Dracula's Curse;[KutsuSheeta](https://www.twitch.tv/kutsusheeta);NES;Grant;;;0:37:12;ESA 2020 Summer Online;JsRgLHd1NnA
2020-08-02T14:19:00+02:00;Pokémon Crystal;[360Chrism](https://www.twitch.tv/360chrism) vs. [SheNanagans_](https://www.twitch.tv/shenanagans_);PC;Randomizer (Battleships);;;3:30:13;ESA 2020 Summer Online;FmsQgQMuY9M
2020-08-02T23:14:00+02:00;Sonic Adventure (DX);[Argick](https://www.twitch.tv/argick);PC;All Stories;;;1:54:43;ESA 2020 Summer Online;kIWIkRs8RDs
2020-07-25T02:12:00+02:00;Alice in Wonderdream;[LattMackey](https://www.twitch.tv/lattmackey);TurboGrafx-16;Any%;;;0:15:29;ESA 2020 Summer Online;hcc42dfRq00
2020-07-25T10:40:00+02:00;Crash Bash;[Pie](https://www.twitch.tv/pie);PS2;Any% (No MM);;;2:20:40;ESA 2020 Summer Online;IcOgpc75pxQ
2020-07-25T20:10:00+02:00;Super Metroid: Project Base;[CountGooby](https://www.twitch.tv/countgooby);SNES;Any%;;;0:31:13;ESA 2020 Summer Online;v8BQlTgJ9DQ
2020-07-26T04:01:00+02:00;EarthBound;[DoctorSwellman](https://www.twitch.tv/doctorswellman);SNES;Any%;;;0:49:30;ESA 2020 Summer Online;UPypek_qGbM
2020-07-26T23:30:00+02:00;Mega Man Xtreme 2;[FocusSight](https://www.twitch.tv/focussight);GBC;100%;;;0:41:25;ESA 2020 Summer Online;Jydv3okG9iY
2020-07-27T08:57:00+02:00;Batman: Arkham City;[Xoneris](https://www.twitch.tv/xoneris);PC;Any%;;;1:28:51;ESA 2020 Summer Online;jxyKfcffCEA
2020-07-24T20:18:00+02:00;Crash Nitro Kart;[hypnoshark](https://www.twitch.tv/hypnoshark);Xbox;Any%;;;0:51:42;ESA 2020 Summer Online;YZBRqCIODPE
2020-07-27T19:03:00+02:00;Pepsiman: The Forbidden Drink;[UnFantasmaMas](https://www.twitch.tv/unfantasmamas);PC;All Endings;;;0:06:58;ESA 2020 Summer Online;C4sJWOJrU0g
