Scheduled;Game;Players;Platform;Category;Categories;Twitch;Time;Event;Youtube
2021-02-16T14:08:00+01:00;Touhou: Scarlet Curiosity;[Naro](https://www.twitch.tv/Naro);PC;Remilia (True Ending);;;1:03:06;ESA 2021 Winter;1A6uMIVAYFM
2021-02-17T02:38:00+01:00;Final Fantasy XV: Royal Edition;[Kyoslilmonster](https://www.twitch.tv/Kyoslilmonster);PS4;Any% (No Ring);;;4:23:09;ESA 2021 Winter;WUy1WQaJW1Q
2021-02-17T17:33:00+01:00;Harry Potter and the Chamber of Secrets;[Nixxo](https://www.twitch.tv/Nixxo);PC;Any%;;;0:37:36;ESA 2021 Winter;uSWHwpAU5mI
2021-02-17T21:57:00+01:00;Baby Shark VR Dancing;[Kainalo](https://www.twitch.tv/Kainalo);PC;Any%;;;0:06:58;ESA 2021 Winter;rVJbJAxJE-c
2021-02-18T04:01:00+01:00;Elmo's ABCs;[Juh0rse](https://www.twitch.tv/Juh0rse);GBA;Any%;;;0:03:09;ESA 2021 Winter;4cj8O4OcZsE
2021-02-18T11:56:00+01:00;Pikmin 3 Deluxe;[RDVvsTheWorld](https://www.twitch.tv/RDVvsTheWorld);Switch;Any%;;;0:40:47;ESA 2021 Winter;h14ld_ySar4
2021-02-18T22:39:00+01:00;Fallout 3;[bananapegasus](https://www.twitch.tv/bananapegasus);PC;Any%;;;0:16:01;ESA 2021 Winter;NCvgN4_hW9M
2021-02-19T02:41:00+01:00;Wizards & Warriors III: Kuros: Visions of Power;[marquisdan](https://www.twitch.tv/marquisdan);NES;Any%;;;0:22:50;ESA 2021 Winter;zSNiQhfWPDU
2021-02-19T09:03:00+01:00;Hylics 2;[RJsmangit](https://www.twitch.tv/RJsmangit);PC;Any%;;;0:43:48;ESA 2021 Winter;9xowWkGTzeM
2021-02-20T01:30:00+01:00;Cyberpunk 2077;[nicnacnic](https://www.twitch.tv/nicnacnic);PC;Any%;;;3:18:33;ESA 2021 Winter;Zu051v7_LBk
2021-02-20T14:28:00+01:00;Teslagrad;[Codejinn](https://www.twitch.tv/Codejinn);PC;36 Scrolls (100%);;;0:31:43;ESA 2021 Winter;FJ5NBUl93U0
2021-02-20T20:43:00+01:00;Super Mario Sunshine (3D All-Stars);[Samura1man](https://www.twitch.tv/Samura1man);Switch;Any%;;;1:18:06;ESA 2021 Winter;2HM7pTpKfYo
2021-02-21T01:19:00+01:00;Celeste;[PeekingBoo](https://www.twitch.tv/PeekingBoo);PC;Any% (Dance Pad);;;0:53:47;ESA 2021 Winter;kiI1t5vVl9U
