Scheduled;Game;Players;Platform;Category;Categories;Twitch;Time;Event
Fri 27 Jul 2018 19:14:00 +0200;[Dark Souls](https://www.speedrun.com/Dark_Souls);[Kahmul78](https://www.twitch.tv/kahmul78);PC;Glitch Exhibition;;289884900;0:16:00;ESA 2018 (Stream One)
Fri 27 Jul 2018 19:48:00 +0200;[Dark Souls (Remastered)](https://www.speedrun.com/darksoulsremastered);[SayviTV](https://www.twitch.tv/SayviTV)|[Elajjaz](https://www.twitch.tv/Elajjaz);PC;Any%;Race;289911335;0:45:17;ESA 2018 (Stream One)
Fri 27 Jul 2018 20:58:00 +0200;[Star Wars Jedi Knight: Jedi Academy](https://www.speedrun.com/jka);[praskOo_](https://www.twitch.tv/praskOo_)|[Savusukka](https://www.twitch.tv/savusukka)|[AerO__](https://www.twitch.tv/aero__);PC;Any%;Race;289972635;0:29:30;ESA 2018 (Stream One)
Fri 27 Jul 2018 21:43:00 +0200;[Hitman: Blood Money](https://www.speedrun.com/hitmanbloodmoney);[TheKotti](https://www.twitch.tv/thekotti);PC;Silent Assassin;;289947695;0:48:09;ESA 2018 (Stream One)
Fri 27 Jul 2018 22:40:00 +0200;[Quake](https://www.speedrun.com/Quake);[brainfluid](https://www.twitch.tv/brainfluid)|[praskOo_](https://www.twitch.tv/praskOo_);PC;Any%;Race;289973649;0:15:08;ESA 2018 (Stream One)
Fri 27 Jul 2018 23:06:00 +0200;[Half-Life](https://www.speedrun.com/hl1);[Maxam1337](https://www.twitch.tv/maxam1337);PC;Any% Scriptless;;289969037;0:31:16;ESA 2018 (Stream One)
Fri 27 Jul 2018 23:47:00 +0200;[Deus Ex: Human Revolution](https://www.speedrun.com/dxhr);[Heinki](https://www.twitch.tv/heinki);PC;Any%;;289986409;0:46:38;ESA 2018 (Stream One)
Sat 28 Jul 2018 00:47:00 +0200;[Prey (2017)](https://www.speedrun.com/prey2017);[Janmumrik](https://www.twitch.tv/janmumrik);PC;Any%;;289998941;0:12:25;ESA 2018 (Stream One)
Sat 28 Jul 2018 01:17:00 +0200;[Dying Light](https://www.speedrun.com/dyinglight);[WolfE87](https://www.twitch.tv/wolfe87);PC;Any%;;290040681;1:55:49;ESA 2018 (Stream One)
Sat 28 Jul 2018 03:27:00 +0200;[Minecraft: Java Edition](https://www.speedrun.com/mc#Any_Glitchless);[SpoonTy](https://www.youtube.com/channel/UCQWtP2GWSxy21J6Y8eDFW9Q);PC;Any% (Glitchless Set Seed);;290048440;0:09:47;ESA 2018 (Stream One)
